REPORTE LABOS 2026 - Seguimiento por Cliente (ene-abr) | Montos ARS sin IVA | s/d Avanter marzo y feb de Colgate/MaxVision/SidusFarma/Ceoderma

Código,Programa,Laboratorio,Lab. Propio,Avanter Proveedor,FC POR AVANTER,Precio,Actualización,Status,ENERO TRX,ENERO % TRX MES,ENERO MONTO FC,ENERO MONTO X TRX,FEBRERO TRX,FEBRERO % TRX MES,FEBRERO MONTO FC,FEBRERO MONTO X TRX,MARZO TRX,MARZO % TRX MES,MARZO MONTO FC,MARZO MONTO X TRX,ABRIL TRX,ABRIL % TRX MES,ABRIL MONTO FC,ABRIL MONTO X TRX,MAYO TRX,MAYO % TRX MES,MAYO MONTO FC,MAYO MONTO X TRX,JUNIO TRX,JUNIO % TRX MES,JUNIO MONTO FC,JUNIO MONTO X TRX,JULIO TRX,JULIO % TRX MES,JULIO MONTO FC,JULIO MONTO X TRX,AGOSTO TRX,AGOSTO % TRX MES,AGOSTO MONTO FC,AGOSTO MONTO X TRX,SEPTIEMBRE TRX,SEPTIEMBRE % TRX MES,SEPTIEMBRE MONTO FC,SEPTIEMBRE MONTO X TRX,OCTUBRE TRX,OCTUBRE % TRX MES,OCTUBRE MONTO FC,OCTUBRE MONTO X TRX,NOVIEMBRE TRX,NOVIEMBRE % TRX MES,NOVIEMBRE MONTO FC,NOVIEMBRE MONTO X TRX,DICIEMBRE TRX,DICIEMBRE % TRX MES,DICIEMBRE MONTO FC,DICIEMBRE MONTO X TRX,ANUAL (ene-abr) TRX,ANUAL (ene-abr) % TRX MES,ANUAL (ene-abr) MONTO FC,ANUAL (ene-abr) MONTO X TRX
CLIENTE: ASTRAZENECA
5150,Bonos Caviahue,CAVIAHUE,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,1002,0.1000%,74148.00,74.00,982,0.1281%,72668.00,74.00,,,,,2593,0.3968%,241149.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4577,0.1777%,387965.00,84.76
5160,Bonos By Derm,BYDERM,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,5461,0.5450%,404114.00,74.00,5116,0.6671%,378584.00,74.00,,,,,6100,0.9335%,567300.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16677,0.6477%,1349998.00,80.95
5170,Bonos Bioderma,BIODERMA,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,1129,0.1127%,83546.00,74.00,1053,0.1373%,77922.00,74.00,,,,,1462,0.2237%,135966.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3644,0.1415%,297434.00,81.62
5180,Bonos Biferdil,BIFERDIL,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,10,0.0010%,740.00,74.00,12,0.0016%,888.00,74.00,,,,,22,0.0034%,2046.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.0017%,3674.00,83.50
5190,Bonos Fresenius,FRESENIUS,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,47,0.0047%,3478.00,74.00,38,0.0050%,2812.00,74.00,,,,,107,0.0164%,9951.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0.0075%,16241.00,84.59
5200,Bonos SC Johnson,SC JHONSON,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,16,0.0016%,1184.00,74.00,20,0.0026%,1480.00,74.00,,,,,6,0.0009%,558.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.0016%,3222.00,76.71
5210,Bonos Pharmatrix,PHARMATRIX,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,85,0.0085%,6290.00,74.00,80,0.0104%,5920.00,74.00,,,,,320,0.0490%,29760.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,0.0188%,41970.00,86.54
5220,Bonos Megalabs,MEGALABS,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,0,,0.00,,0,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5230,Bonos Siegfried,SIEGFRIED,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,0,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5240,Bonos Raisse,RAISSE,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,167,0.0167%,12358.00,74.00,356,0.0464%,26344.00,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,0.0203%,38702.00,74.00
5250,Bonos Siscom (Rayito de Sol),SISCOM,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,STARTUP,0,,0.00,,0,,0.00,,,,,,1,0.0002%,93.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0000%,93.00,93.00
5260,Bonos ENA (alta 22/04/2026),ENA,NO,NO,,Alta laboratorio nuevo - Avanter,Mensual,STARTUP,,,,,,,,,,,,,,,547420.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,547420.80,
5270,Bonos Convatec (alta 24/04/2026),CONVATEC,NO,NO,,Alta laboratorio nuevo - Avanter,Mensual,STARTUP,,,,,,,,,,,,,,,547420.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,547420.80,
